,album_title,track_specific_info,version_ids,has_track_specific_info_in_release_credits,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,id_str,url,position,release_id,duration
10,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Girl Talk,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Girl Talk in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,A1,1515742,4:29
11,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,I Dont Want To Be The One,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,I Dont Want To Be The One in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,B2,1515742,4:01
12,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Maxxed Out,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Maxxed Out in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,B3,1515742,5:02
13,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,Takin It Up All Night,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,Takin It Up All Night in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,A3,1515742,4:25
14,Significant Gains,,"16016834, 9028853, 22826456, 4047354, 2993115, 1515742",False,The Call,Greg Phillinganes,Significant Gains,Planet (15),1981,"Main, Producer, Lead Vocals, Keyboards, Synthesizer, Synthesizer [Fairlight Computer Synthesizer]","Funk / Soul, Jazz",Vinyl,US,P-17,False,The Call in Significant Gains,https://www.discogs.com/release/1515742-Greg-Phillinganes-Significant-Gains,B5,1515742,3:22
15,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Behind The Mask,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Behind The Mask in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A1,152458,4:50
16,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Come As You Are,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Come As You Are in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A5,152458,4:18
17,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Countdown To Love,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Countdown To Love in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,B3,152458,2:56
18,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,I Have Dreamed,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,I Have Dreamed in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A4,152458,4:39
19,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Lazy Nina,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Lazy Nina in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,B1,152458,5:25
20,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Playin' With Fire,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Playin' With Fire in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A3,152458,4:46
21,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Shake It,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Shake It in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,B4,152458,6:08
22,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Signals,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Signals in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,B2,152458,5:00
23,Pulse,,"1688737, 6341128, 152458, 18306283, 1736939, 3580303, 2091217, 10656434, 5631217, 8944727, 16242007, 1968060, 5167487",False,Won't Be Long Now,Greg Phillinganes,Pulse,Planet (15),1985,"Main, Keyboards, Lead Vocals, Backing Vocals","Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Won't Be Long Now in Pulse,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A2,152458,5:05
24,Lazy Nina,,5759479,False,Lazy Nina,Greg Phillinganes,Lazy Nina,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Lazy Nina in Lazy Nina,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A,152458,5:25
25,Lazy Nina,,5759479,False,Only You,Greg Phillinganes,Lazy Nina,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Only You in Lazy Nina,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,B,152458,6:16
26,Countdown To Love / Behind The Mask,,14733098,False,Behind The Mask,Greg Phillinganes,Countdown To Love / Behind The Mask,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Behind The Mask in Countdown To Love / Behind The Mask,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,B,152458,4:50
27,Countdown To Love / Behind The Mask,,14733098,False,Countdown To Love,Greg Phillinganes,Countdown To Love / Behind The Mask,Planet (15),1985,Main,"Funk / Soul, Electronic, Jazz",Vinyl,Europe,FL84698,False,Countdown To Love in Countdown To Love / Behind The Mask,https://www.discogs.com/release/152458-Greg-Phillinganes-Pulse,A,152458,2:56
28,Behind The Mask,,"1667072, 926658, 4277719, 1845124, 12590722, 15118728, 18949069, 6198317, 8020207, 14601998, 2813715, 2284502, 2141431, 8815449, 20587513, 2620859",False,Behind The Mask,Greg Phillinganes,Behind The Mask,Planet (15),1985,Main,Funk / Soul,Vinyl,UK,"RPS 110, YB 13943",False,Behind The Mask in Behind The Mask,https://www.discogs.com/release/1845124-Greg-Phillinganes-Behind-The-Mask,A,1845124,4:07
29,Behind The Mask,,"1667072, 926658, 4277719, 1845124, 12590722, 15118728, 18949069, 6198317, 8020207, 14601998, 2813715, 2284502, 2141431, 8815449, 20587513, 2620859",False,Only You,Greg Phillinganes,Behind The Mask,Planet (15),1985,Main,Funk / Soul,Vinyl,UK,"RPS 110, YB 13943",False,Only You in Behind The Mask,https://www.discogs.com/release/1845124-Greg-Phillinganes-Behind-The-Mask,B,1845124,6:16
30,Playin' With Fire,,"13651596, 1252718, 6012050, 1110746, 19325788",False,Only You,Greg Phillinganes,Playin' With Fire,Planet (15),1985,"Remix, Main","Funk / Soul, Jazz",Vinyl,US,YW-14133,False,Only You in Playin' With Fire,https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,B2,19325788,6:16
31,Playin' With Fire,,"13651596, 1252718, 6012050, 1110746, 19325788",False,Playin' With Fire,Greg Phillinganes,Playin' With Fire,Planet (15),1985,"Remix, Main","Funk / Soul, Jazz",Vinyl,US,YW-14133,False,Playin' With Fire in Playin' With Fire,https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,A,19325788,5:54
32,Playin' With Fire,,"13651596, 1252718, 6012050, 1110746, 19325788",False,Playin' With Fire (Instrumental),Greg Phillinganes,Playin' With Fire,Planet (15),1985,"Remix, Main","Funk / Soul, Jazz",Vinyl,US,YW-14133,False,Playin' With Fire (Instrumental) in Playin' With Fire,https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,B1,19325788,5:16
33,"Love Fantasy / Baby, I Do Love You",,1410576,False,"Baby, I Do Love You",Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,"Remix, Main","Funk / Soul, Jazz",Vinyl,US,YW-14133,False,"Baby, I Do Love You in Love Fantasy / Baby, I Do Love You",https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,A4,19325788,4:15
34,"Love Fantasy / Baby, I Do Love You",,1410576,False,Do It All For Love,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,"Do It All For Love in Love Fantasy / Baby, I Do Love You",https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,A5,19325788,4:26
35,"Love Fantasy / Baby, I Do Love You",,1410576,False,Love Attack,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,"Love Attack in Love Fantasy / Baby, I Do Love You",https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,A2,19325788,5:42
36,"Love Fantasy / Baby, I Do Love You",,1410576,False,Love Fantasy,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,"Love Fantasy in Love Fantasy / Baby, I Do Love You",https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,A1,19325788,7:20
37,"Love Fantasy / Baby, I Do Love You",,1410576,False,One Good Love Is Worth Two In The Bush,Greg Phillinganes,"Love Fantasy / Baby, I Do Love You",Planet (15),1985,Main,"Funk / Soul, Jazz",Vinyl,US,YW-14133,False,"One Good Love Is Worth Two In The Bush in Love Fantasy / Baby, I Do Love You",https://www.discogs.com/release/19325788-Greg-Phillinganes-Playin-With-Fire,A3,19325788,4:30
38,Say Yes,,"2016741, 1189320, 19357906, 7673236, 8476092, 2580123, 300988",False,Say Yes (Remix Accapella),Floetry,Say Yes,Dreamworks Records,2003,Remix,"Funk / Soul, Hip Hop",CD,US,DRMR-14091-2,False,Say Yes (Remix Accapella) in Say Yes,https://www.discogs.com/release/300988-Floetry-Say-Yes-Remixes,3,300988,3:33
39,Say Yes,,"2016741, 1189320, 19357906, 7673236, 8476092, 2580123, 300988",False,Say Yes (Remix Instrumental),Floetry,Say Yes,Dreamworks Records,2003,Remix,"Funk / Soul, Hip Hop",CD,US,DRMR-14091-2,False,Say Yes (Remix Instrumental) in Say Yes,https://www.discogs.com/release/300988-Floetry-Say-Yes-Remixes,2,300988,3:51
40,Say Yes,,"2016741, 1189320, 19357906, 7673236, 8476092, 2580123, 300988",False,Say Yes (Remix),Floetry,Say Yes,Dreamworks Records,2003,Remix,"Funk / Soul, Hip Hop",CD,US,DRMR-14091-2,False,Say Yes (Remix) in Say Yes,https://www.discogs.com/release/300988-Floetry-Say-Yes-Remixes,1,300988,3:51
41,Heartbreak Hotel / Working Day & Night,,15692109,False,Heartbreak Hotel,The Jacksons,Heartbreak Hotel / Working Day & Night,"CBS/Sony, Epic",1980,Producer [Associate],Funk / Soul,Vinyl,Philippines,"9-50797, S-1343-E, 19-50959",False,Heartbreak Hotel in Heartbreak Hotel / Working Day & Night,https://www.discogs.com/release/15692109-The-Jacksons-Heartbreak-Hotel-Working-Day-Night,A,15692109,4:49
42,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Can You Feel It,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Can You Feel It in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,A1,266314,5:58
43,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Everybody,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Everybody in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,A4,266314,5:01
44,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Give It Up,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Give It Up in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,B4,266314,4:20
45,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Heartbreak Hotel,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Heartbreak Hotel in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,B1,266314,5:44
46,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Lovely One,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Lovely One in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,A2,266314,4:51
47,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Time Waits For No One,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Time Waits For No One in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,B2,266314,3:23
48,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Walk Right Now,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Walk Right Now in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,B3,266314,6:28
49,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Wondering Who,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Wondering Who in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,B5,266314,4:19
50,Triumph,,"18738688, 8667653, 9793030, 4700682, 909327, 12382237, 4155425, 3441698, 14897192, 4295735, 8922172, 8904768, 1900608, 266314, 1677912, 5119064, 6763610, 4155997, 4821608, 3410537, 12873834, 677993, 9374842, 6205563, 3777661, 11754127, 11805842, 1844896, 14093473, 8530095, 647347, 15395531, 5704917, 6145238, 7637719, 5208798, 13481185, 480993, 5673707, 8990956, 6394099, 14614271, 5657885, 11427648, 10412353, 6944068, 16290122, 5194067, 1934675, 19556695, 14549336, 1828192, 21730660, 6379369, 15727475, 8351604, 712064, 4045697, 7401347, 2665860, 1732486, 9262472, 14425482, 2241418, 11267981, 4112785, 2463648, 14495654, 20095927, 10639803, 10787264, 415170, 3773900, 14609870, 10397647, 12636117, 6115285, 18669022, 2004447, 14896614, 9054204",False,Your Ways,The Jacksons,Triumph,Epic,1980,"Producer [Associate], Keyboards",Funk / Soul,Vinyl,US,FE 36424,False,Your Ways in Triumph,https://www.discogs.com/release/266314-The-Jacksons-Triumph,A3,266314,4:32
51,Heartbreak Hotel,,"3491843, 3300614, 415239, 2681487, 1289880, 13824281, 882077, 2954669, 3535285, 1182135, 2267326, 12067907, 6198984, 18128332, 1523671, 4078426, 2748391, 13088103, 431852, 2930670",False,Heartbreak Hotel,The Jacksons,Heartbreak Hotel,Epic,1980,Producer [Associate],"Funk / Soul, Electronic",Vinyl,US,AS 894,False,Heartbreak Hotel in Heartbreak Hotel,https://www.discogs.com/release/415239-The-Jacksons-Heartbreak-Hotel,A,415239,4:49
52,Heartbreak Hotel,,"3491843, 3300614, 415239, 2681487, 1289880, 13824281, 882077, 2954669, 3535285, 1182135, 2267326, 12067907, 6198984, 18128332, 1523671, 4078426, 2748391, 13088103, 431852, 2930670",False,Heartbreak Hotel,The Jacksons,Heartbreak Hotel,Epic,1980,Producer [Associate],"Funk / Soul, Electronic",Vinyl,US,AS 894,False,Heartbreak Hotel in Heartbreak Hotel,https://www.discogs.com/release/415239-The-Jacksons-Heartbreak-Hotel,B,415239,4:49
53,Hotel Sentimental = Heartbreak Hotel,,"13435305, 13433711",False,Adorable = Lovely One,The Jacksons,Hotel Sentimental = Heartbreak Hotel,CBS,1981,Producer [Associate],"Funk / Soul, Electronic",Vinyl,Ecuador,133-0075,False,Adorable = Lovely One in Hotel Sentimental = Heartbreak Hotel,https://www.discogs.com/release/13435305-The-Jacksons-Hotel-Sentimental-Heartbreak-Hotel,B,13435305,
